province_code,province_name,latitude,longitude
1,Thành phố Hà Nội,21.0283334,105.854041
11,Tỉnh Điện Biên,21.6546566,103.2168632
12,Tỉnh Lai Châu,22.2921668,103.1798662
14,Tỉnh Sơn La,21.2276769,104.1575944
15,Tỉnh Lào Cai,22.3069302,104.1829592
19,Tỉnh Thái Nguyên,21.9610968,105.8440789
20,Tỉnh Lạng Sơn,21.8487579,106.6140692
22,Tỉnh Quảng Ninh,21.1718046,107.2012742
24,Tỉnh Bắc Ninh,21.3282166,106.4625257
25,Tỉnh Phú Thọ,21.3007538,105.1349604
31,Thành phố Hải Phòng,20.8830967,106.6790381
33,Tỉnh Hưng Yên,20.6065846,106.2843471
37,Tỉnh Ninh Bình,20.2867258,106.1000359
38,Tỉnh Thanh Hóa,19.9781573,105.4816107
4,Tỉnh Cao Bằng,22.7426936,106.1060926
40,Tỉnh Nghệ An,19.1976001,105.060676
42,Tỉnh Hà Tĩnh,18.3504832,105.7623047
44,Tỉnh Quảng Trị,17.2166964,106.9548246
46,Thành phố Huế,16.4639321,107.5863388
48,Thành phố Đà Nẵng,16.068501,108.2240242
51,Tỉnh Quảng Ngãi,14.9953739,108.691729
52,Tỉnh Gia Lai,14.0201373,108.6354524
56,Tỉnh Khánh Hòa,12.2980751,108.9950386
66,Tỉnh Đắk Lắk,12.8741856,108.7979302
68,Tỉnh Lâm Đồng,11.6614957,108.1335279
75,Tỉnh Đồng Nai,11.0806241,107.1873919
79,Thành phố Hồ Chí Minh,10.7737261,106.7166008
8,Tỉnh Tuyên Quang,22.3382057,105.0715846
80,Tỉnh Tây Ninh,11.0800527,106.2610531
82,Tỉnh Đồng Tháp,10.425183,105.9271362
86,Tỉnh Vĩnh Long,10.046765,106.2947443
91,Tỉnh An Giang,10.3188672,105.0432488
92,Thành phố Cần Thơ,10.0362046,105.7872656
96,Tỉnh Cà Mau,9.0180177,105.0869724
