forecast_time,temperature_c,humidity_percent,precipitation_mm,rain_mm,wind_speed_kmh,wind_gusts_kmh,surface_pressure_hpa,weather_code,province_code,province_name,latitude,longitude,data_fetched_at
2026-07-10T00:00,26.4,97,0.8,0.2,3.0,7.6,1000.5,53,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T01:00,26.8,96,0.1,0.1,2.3,5.8,999.9,51,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T02:00,26.4,97,1.0,0.7,4.6,8.6,999.5,55,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T03:00,26.2,97,0.4,0.3,6.9,12.2,999.2,51,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T04:00,25.8,95,0.3,0.0,5.9,16.6,999.3,51,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T05:00,25.2,97,2.3,0.5,4.3,15.8,999.5,95,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T06:00,25.1,98,1.0,0.2,6.9,12.6,1000.1,55,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T07:00,26.4,92,1.0,0.1,2.4,20.2,1000.7,55,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T08:00,26.7,91,1.4,0.2,2.3,8.3,1000.8,80,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T09:00,27.3,90,0.8,0.4,1.1,8.3,1000.7,53,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T10:00,28.1,87,0.3,0.2,1.7,12.2,1001.0,51,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T11:00,28.4,87,0.2,0.1,2.1,12.6,1000.6,51,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T12:00,28.6,85,0.2,0.1,4.1,13.3,999.6,51,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
2026-07-10T13:00,30.8,73,0.6,0.0,1.9,14.8,999.6,95,1,Thành phố Hà Nội,21.0283334,105.854041,2026-07-11T00:04:05
